fold,pair,lotId,entryTime,entryPrice,e0ExitTime,e1ExitTime,e0Reason,e1Reason,e0Net,e1Net,e0R,e1R,e0MfeR,e1MfeR,e0Capture,e1Capture,e0Giveback,e1Giveback,deltaNet,deltaR,deltaCapture,deltaGiveback
2,SOL/USD,replay-SOL/USD-1,1787165100000,82.14,1787175000000,1787175000000,PROFIT,PROFIT,150.70797891842372,150.70797891842372,3.11182401466545,3.11182401466545,3.11182401466545,3.11182401466545,1,1,0,0,0,0,0,0
2,SOL/USD,replay-SOL/USD-2,1787186400000,85.64,1787189400000,1787189400000,STRUCTURE_INVALIDATION,STRUCTURE_INVALIDATION,-20.91022404371584,-20.91022404371584,-0.35956284153005436,-0.35956284153005436,0,0,,,0.35956284153005436,0.35956284153005436,0,0,,0
2,SOL/USD,replay-SOL/USD-3,1787217300000,87.57,1787228400000,1787229000000,TIME_EFFICIENCY,STRUCTURE_INVALIDATION,-21.79291068082422,-17.642995003122838,-0.3672704559650167,-0.28419737663959616,0.17926296064959849,0.17926296064959849,-2.0487804878047977,-1.585365853658474,0.5465334166146152,0.46346033728919467,4.149915677701383,0.08307307932542052,0.46341463414632367,-0.08307307932542052
2,SOL/USD,replay-SOL/USD-4,1787226600000,87.79,1787229000000,1787229000000,STRUCTURE_INVALIDATION,STRUCTURE_INVALIDATION,-24.049073578595372,-24.049073578595372,-0.4073578595317739,-0.4073578595317739,0,0,,,0.4073578595317739,0.4073578595317739,0,0,,0
2,SOL/USD,replay-SOL/USD-6,1787244300000,87.46,1787252400000,1787252400000,STRUCTURE_INVALIDATION,STRUCTURE_INVALIDATION,-23.26024915540521,-23.26024915540521,-0.3724662162162125,-0.3724662162162125,0.17736486486487113,0.17736486486487113,-2.099999999999905,-2.099999999999905,0.5498310810810836,0.5498310810810836,0,0,0,0
2,SOL/USD,replay-SOL/USD-5,1787242200000,87.28,1787252400000,1787252400000,STRUCTURE_INVALIDATION,STRUCTURE_INVALIDATION,-17.934514358108142,-17.934514358108142,-0.26604729729729826,-0.26604729729729826,0.2837837837837854,0.2837837837837854,-0.9374999999999981,-0.9374999999999981,0.5498310810810836,0.5498310810810836,0,0,0,0
2,SOL/USD,replay-SOL/USD-7,1787254800000,87.39,1787265900000,1787266800000,TIME_EFFICIENCY,STRUCTURE_INVALIDATION,-8.966502423263234,-9.248962035541245,-0.09046849757673477,-0.09612277867528371,0.20355411954765723,0.20355411954765723,-0.4444444444444357,-0.47222222222222776,0.294022617124392,0.29967689822294097,-0.28245961227801075,-0.005654281098548944,-0.027777777777792056,0.0056542810985489855
2,SOL/USD,replay-SOL/USD-8,1787260200000,87.74,1787266800000,1787266800000,STRUCTURE_INVALIDATION,STRUCTURE_INVALIDATION,-19.759366666666573,-19.759366666666573,-0.3033333333333314,-0.3033333333333314,0,0,,,0.3033333333333314,0.3033333333333314,0,0,,0
2,SOL/USD,replay-SOL/USD-9,1787291400000,90.45,1787303100000,1787303100000,TRAILING,MFE_GIVEBACK,22.256735751295082,22.256735751295082,0.544041450777197,0.544041450777197,1.6925734024179604,1.6925734024179604,0.32142857142856873,0.32142857142856873,1.1485319516407633,1.1485319516407633,0,0,0,0
2,SOL/USD,replay-SOL/USD-10,1787323500000,91.47,1787334600000,1787335800000,TIME_EFFICIENCY,TIME_EFFICIENCY,2.2301603773584437,2.560051886792575,0.09905660377358395,0.105660377358493,0.18490566037735923,0.18490566037735923,0.5357142857142785,0.5714285714285823,0.08584905660377527,0.07924528301886623,0.32989150943413126,0.006603773584909045,0.035714285714303795,-0.006603773584909045
