policy,pair,lotId,exitReason,entryPrice,exitPrice,volume,grossPnlUsd,entryFeeUsd,exitFeeUsd,netPnlUsd,rMultiple,mfeR,holdTimeMinutes,openedAtMs,closedAtMs
E1,SOL/USD,replay-SOL/USD-4,STRUCTURE_INVALIDATION,87.79,86.92,23.411371237458145,-20.367892976588692,1.8497558528428055,1.8314247491638758,-24.049073578595372,-0.4073578595317739,0,40,1787226600000,1787229000000
E1,SOL/USD,replay-SOL/USD-3,STRUCTURE_INVALIDATION,87.57,86.92,21.861336664584606,-14.209868831979808,1.7229575265459063,1.7101686445971245,-17.642995003122838,-0.28419737663959616,0.17926296064959849,195,1787217300000,1787229000000
E1,SOL/USD,replay-SOL/USD-6,STRUCTURE_INVALIDATION,87.46,86.83,29.560810810810732,-18.623310810810626,2.326849662162156,2.310088682432426,-23.26024915540521,-0.3724662162162125,0.17736486486487113,135,1787244300000,1787252400000
E1,SOL/USD,replay-SOL/USD-5,STRUCTURE_INVALIDATION,87.28,86.83,29.560810810810732,-13.302364864864913,2.3220608108108047,2.310088682432426,-17.934514358108142,-0.26604729729729826,0.2837837837837854,170,1787242200000,1787252400000
E1,SOL/USD,replay-SOL/USD-8,STRUCTURE_INVALIDATION,87.74,87.22,29.166666666666703,-15.16666666666657,2.3031750000000026,2.2895250000000025,-19.759366666666573,-0.3033333333333314,0,110,1787260200000,1787266800000
E1,SOL/USD,replay-SOL/USD-7,STRUCTURE_INVALIDATION,87.39,87.22,28.271405492730217,-4.806138933764185,2.2235743134087245,2.2192487883683367,-9.248962035541245,-0.09612277867528371,0.20355411954765723,200,1787254800000,1787266800000
E1,SOL/USD,replay-SOL/USD-9,MFE_GIVEBACK,90.45,91.35,30.224525043177895,27.20207253885985,2.4604274611398966,2.4849093264248703,22.256735751295082,0.544041450777197,1.6925734024179604,195,1787291400000,1787303100000
E1,SOL/USD,replay-SOL/USD-10,TIME_EFFICIENCY,91.47,91.79,16.50943396226415,5.283018867924651,1.3591061320754716,1.3638608490566038,2.560051886792575,0.105660377358493,0.18490566037735923,205,1787323500000,1787335800000
E1,SOL/USD,replay-SOL/USD-12,MFE_GIVEBACK,92.4,93.17,17.61449421238048,13.5631605435329,1.464821338701561,1.4770281831907406,10.621311021640597,0.271263210870658,0.8595873175641667,170,1787347200000,1787357400000
E1,SOL/USD,replay-SOL/USD-11,MFE_GIVEBACK,92.24,93.17,17.61449421238048,16.381479617513968,1.462284851534978,1.4770281831907406,13.44216658278825,0.3276295923502794,0.915953699043788,175,1787346900000,1787357400000
E1,SOL/USD,replay-SOL/USD-13,TRAILING,95.15,95.47,19.863791146424543,6.356413166855718,1.7010357548240658,1.706756526674236,2.9486208853574167,0.12712826333711438,2.7928490351872908,155,1787366100000,1787375400000
E1,SOL/USD,replay-SOL/USD-14,PROFIT,102.02,109.84,19.47690595436839,152.30940456316097,1.7883305509181968,1.9254090150250418,148.5956649972177,3.046188091263219,3.0267111853088515,965,1787810400000,1787868300000
E1,SOL/USD,replay-SOL/USD-16,STRUCTURE_INVALIDATION,109.94,107.86,14.730639730639755,-30.639730639730665,1.457537878787881,1.4299621212121234,-33.52723063973067,-0.6127946127946133,0.002946127946129458,150,1787873400000,1787882400000
